pred_3h,pred_6h,pred_9h,pred_12h,pred_18h,pred_24h,origin_hs,origin_time
0.7682157,1.0943958,1.3206046,1.4696928,1.8634436,1.6415675,0.48,2024-01-03 00:00:00+09:00
0.7806267,1.0872477,1.3139751,1.4891464,1.769254,1.6205498,0.515,2024-01-03 00:30:00+09:00
0.7043026,0.8838958,0.94685477,1.2070142,1.6366994,1.3744494,0.51,2024-01-03 01:00:00+09:00
0.8083971,1.0330911,1.060122,1.3409154,1.6754093,1.5125717,0.58,2024-01-03 01:30:00+09:00
0.771774,0.9647105,1.1299777,1.22969,1.6934505,1.3347226,0.66,2024-01-03 02:00:00+09:00
0.70975673,0.9408259,1.099566,1.290193,1.7800542,1.4225998,0.65,2024-01-03 02:30:00+09:00
0.83157825,0.9535899,1.1477622,1.3184831,1.7404319,1.6031226,0.69,2024-01-03 03:00:00+09:00
0.84398764,1.0347769,1.2075852,1.4831576,1.7368335,1.5701898,0.715,2024-01-03 03:30:00+09:00
0.91245365,1.0564153,1.2917088,1.356965,1.737199,1.4689913,0.79,2024-01-03 04:00:00+09:00
0.9354643,1.0934119,1.2149686,1.6325566,1.8206122,1.4583348,0.795,2024-01-03 04:30:00+09:00
0.9431678,1.2489108,1.3643509,1.5989999,1.8462822,1.482322,0.83,2024-01-03 05:00:00+09:00
0.9037012,1.0188142,1.244104,1.3903797,1.6126401,1.3660561,0.84,2024-01-03 05:30:00+09:00
1.0000607,1.0954812,1.2633843,1.5899154,1.5347317,1.3037647,0.89,2024-01-03 06:00:00+09:00
1.0202072,1.216425,1.4803549,1.5860233,1.5193453,1.4074798,0.885,2024-01-03 06:30:00+09:00
1.2360578,1.5703068,1.6860408,1.9067713,1.708937,1.4488063,0.9,2024-01-03 07:00:00+09:00
1.1863439,1.3971142,1.6180133,1.7717446,1.68595,1.5084836,0.93,2024-01-03 07:30:00+09:00
1.4182067,1.7870873,1.8204107,2.141883,1.7923263,1.4038335,1.01,2024-01-03 08:00:00+09:00
1.5104883,1.9082054,2.1225216,2.20219,1.9861953,1.607703,1.16,2024-01-03 08:30:00+09:00
1.6271669,1.9156916,2.1154647,2.0451434,1.6022056,1.4672333,1.16,2024-01-03 09:00:00+09:00
1.4923893,1.7503424,1.804312,1.6245364,1.7876273,1.3542778,1.14,2024-01-03 09:30:00+09:00
1.60385,1.7949859,1.8904325,1.7296618,1.8083415,1.3749205,1.17,2024-01-03 10:00:00+09:00
1.5543756,1.76154,1.6444292,1.6053355,1.2968817,1.1062214,1.355,2024-01-03 10:30:00+09:00
1.5281583,1.6392039,1.7022995,1.5557324,1.5411073,1.2405177,1.33,2024-01-03 11:00:00+09:00
1.3593131,1.6297922,1.7538863,1.5081791,1.4130607,1.1901047,1.21,2024-01-03 11:30:00+09:00
1.2969635,1.379432,1.4473649,1.4800351,1.1990273,1.0876069,1.24,2024-01-03 12:00:00+09:00
1.3717155,1.4686649,1.5329506,1.5920254,1.2413856,1.1314688,1.255,2024-01-03 12:30:00+09:00
1.3972608,1.5942252,1.6168923,1.4896512,1.5959629,1.3177557,1.26,2024-01-03 13:00:00+09:00
1.511284,1.7052144,1.6530609,1.6145468,1.4789262,1.2589626,1.435,2024-01-03 13:30:00+09:00
1.8154507,1.979144,1.7948889,1.833658,1.3926483,1.3912455,1.54,2024-01-03 14:00:00+09:00
2.2254534,2.1096303,2.2054527,2.1380477,1.7065991,1.4789085,1.71,2024-01-03 14:30:00+09:00
1.8779527,1.9907248,2.0450904,1.8270719,1.3484923,1.1392872,1.74,2024-01-03 15:00:00+09:00
2.167229,2.0176306,2.1764407,1.9997679,1.5606493,1.6649666,1.85,2024-01-03 15:30:00+09:00
2.2116494,2.0528338,2.0057547,2.0360897,1.5908909,1.6004118,1.97,2024-01-03 16:00:00+09:00
2.053748,1.9597379,2.0886571,1.9418089,1.3556458,1.5446963,2.04,2024-01-03 16:30:00+09:00
2.0742044,1.8341569,1.8593699,1.681864,1.3424871,1.2903095,2.09,2024-01-03 17:00:00+09:00
2.3742106,2.0459566,1.951421,1.6007204,1.219912,1.2093605,2.1,2024-01-03 17:30:00+09:00
2.22672,2.0417845,1.8276393,1.5941323,1.1862434,1.2709794,2.25,2024-01-03 18:00:00+09:00
2.3343422,2.2920377,1.9947672,1.6295909,1.349721,1.2814975,2.275,2024-01-03 18:30:00+09:00
2.3182156,2.3285077,1.92906,1.7439142,1.290759,1.4441597,2.32,2024-01-03 19:00:00+09:00
2.3743093,2.0233214,1.5982629,1.5694476,1.2916567,1.110851,2.365,2024-01-03 19:30:00+09:00
2.4418747,2.0406497,1.7251867,1.6801382,1.2351148,1.2217393,2.41,2024-01-03 20:00:00+09:00
2.111226,1.9201806,1.568889,1.5369414,1.013982,1.0426527,2.305,2024-01-03 20:30:00+09:00
2.003544,1.6587635,1.2419152,1.2572515,0.9173256,0.96821934,2.26,2024-01-03 21:00:00+09:00
1.8832737,1.5168678,1.2222768,1.0362234,0.71723664,0.8184132,2.2,2024-01-03 21:30:00+09:00
1.8447202,1.5808415,1.3004906,1.1791242,0.8557173,0.943005,2.0,2024-01-03 22:00:00+09:00
1.949528,1.6723439,1.2241993,1.002734,0.9967087,0.84227496,2.17,2024-01-03 22:30:00+09:00
1.7435201,1.5260776,1.2480974,1.0527667,0.742034,0.877922,2.03,2024-01-03 23:00:00+09:00
1.5805866,1.3177873,1.0666633,0.83470714,0.8395747,0.90240175,1.9,2024-01-03 23:30:00+09:00
