pred_3h,pred_6h,pred_9h,pred_12h,pred_18h,pred_24h,origin_hs,origin_time
0.82954496,1.1722075,1.2212173,1.235626,1.9450423,1.5698357,0.48,2024-01-03 00:00:00+09:00
0.8301619,1.1549542,1.2402923,1.4025295,1.9942102,1.6298909,0.515,2024-01-03 00:30:00+09:00
0.75588787,0.8365577,0.9665746,1.1258365,2.016359,1.638475,0.51,2024-01-03 01:00:00+09:00
0.85359925,1.0016615,1.1689035,1.471777,2.1581318,1.6377429,0.58,2024-01-03 01:30:00+09:00
0.79387546,0.9100962,1.1411706,1.3943673,2.0459864,1.610759,0.66,2024-01-03 02:00:00+09:00
0.81174153,1.0659542,1.2783366,1.5693855,2.2927716,1.5076481,0.65,2024-01-03 02:30:00+09:00
0.8283035,1.0332984,1.2542334,1.6279249,2.243413,1.564714,0.69,2024-01-03 03:00:00+09:00
0.8703351,1.1318399,1.282088,1.7211795,2.278961,1.6268051,0.715,2024-01-03 03:30:00+09:00
0.9928008,1.1512691,1.308715,1.6840434,2.049145,1.441484,0.79,2024-01-03 04:00:00+09:00
0.96292806,1.1395628,1.3437136,1.8905344,2.066266,1.5162023,0.795,2024-01-03 04:30:00+09:00
1.0017331,1.1816154,1.5143569,1.9865922,2.167641,1.5295506,0.83,2024-01-03 05:00:00+09:00
0.97705793,1.101458,1.3407463,1.725789,1.640497,1.3135846,0.84,2024-01-03 05:30:00+09:00
1.0330665,1.1418928,1.5370796,2.153662,1.9485396,1.4021529,0.89,2024-01-03 06:00:00+09:00
1.0161942,1.1467874,1.5293134,1.9232409,1.7748115,1.3047589,0.885,2024-01-03 06:30:00+09:00
1.3609185,1.5888475,1.82401,2.1256237,1.7545853,1.4986843,0.9,2024-01-03 07:00:00+09:00
1.1490761,1.5293214,1.8466887,2.1174524,1.7409056,1.4612972,0.93,2024-01-03 07:30:00+09:00
1.3187023,1.7717112,2.1114213,2.3942106,1.8373476,1.2949187,1.01,2024-01-03 08:00:00+09:00
1.3386135,1.7252247,2.2951374,2.435065,1.8279606,1.3442394,1.16,2024-01-03 08:30:00+09:00
1.4873506,1.9413309,2.3658454,2.2315476,1.6080173,1.2433093,1.16,2024-01-03 09:00:00+09:00
1.4685444,1.8262894,2.1799679,2.0035028,1.626452,1.1408178,1.14,2024-01-03 09:30:00+09:00
1.5909783,1.9545518,2.2198467,1.9928538,1.6673641,1.0963583,1.17,2024-01-03 10:00:00+09:00
1.6152899,2.0218763,2.006191,1.8405409,1.4514532,0.99805695,1.355,2024-01-03 10:30:00+09:00
1.5653862,1.9325882,2.0804226,1.9013895,1.4644506,0.9489584,1.33,2024-01-03 11:00:00+09:00
1.5227313,1.9351928,2.1180558,1.8607014,1.3508068,0.9056532,1.21,2024-01-03 11:30:00+09:00
1.4105101,1.6022134,1.6789308,1.4207641,1.2128435,0.9488819,1.24,2024-01-03 12:00:00+09:00
1.3947991,1.6809212,1.7455595,1.6587064,1.2903566,1.0310682,1.255,2024-01-03 12:30:00+09:00
1.54134,1.8001038,1.9079349,1.7891139,1.5020939,1.1620859,1.26,2024-01-03 13:00:00+09:00
1.6220399,1.771623,1.8019565,1.7199159,1.3640429,1.0948867,1.435,2024-01-03 13:30:00+09:00
1.9646863,2.2055237,1.9408354,1.8481984,1.5009327,1.228299,1.54,2024-01-03 14:00:00+09:00
2.231384,2.2050855,2.107827,1.9536121,1.4622921,1.3654114,1.71,2024-01-03 14:30:00+09:00
2.0193136,2.0685446,1.922927,1.5852256,1.1543894,1.1131766,1.74,2024-01-03 15:00:00+09:00
2.210444,2.1836057,2.0684764,1.8709328,1.2059222,1.3711348,1.85,2024-01-03 15:30:00+09:00
2.2100415,2.1944892,2.1270878,1.6887506,1.3659879,1.3035307,1.97,2024-01-03 16:00:00+09:00
2.2512813,1.9627359,1.9776586,1.6697404,1.2543844,1.2025242,2.04,2024-01-03 16:30:00+09:00
2.1333892,1.8516226,1.6546593,1.3800913,1.1408627,1.0831423,2.09,2024-01-03 17:00:00+09:00
2.445377,2.065414,2.026666,1.5385015,1.021899,1.0801841,2.1,2024-01-03 17:30:00+09:00
2.1517577,2.074361,1.8218478,1.5300628,0.9772083,0.90541446,2.25,2024-01-03 18:00:00+09:00
2.261331,2.0902848,1.8354123,1.6453242,1.1299267,1.0148311,2.275,2024-01-03 18:30:00+09:00
2.1981156,2.140667,1.8637307,1.7604177,1.1152933,1.0064739,2.32,2024-01-03 19:00:00+09:00
2.2700334,1.9822358,1.5811412,1.3737628,1.0438416,1.0266176,2.365,2024-01-03 19:30:00+09:00
2.303957,1.9153978,1.781651,1.8658428,1.2501143,1.1086707,2.41,2024-01-03 20:00:00+09:00
2.0322728,1.8724736,1.546011,1.495733,1.2430911,1.1693352,2.305,2024-01-03 20:30:00+09:00
1.9357176,1.797617,1.2955827,1.269892,1.1063763,0.8929425,2.26,2024-01-03 21:00:00+09:00
1.8684142,1.5695958,1.3097073,1.037119,0.7747382,0.8263591,2.2,2024-01-03 21:30:00+09:00
1.7703782,1.521478,1.2808192,1.0589433,0.8884264,0.95986664,2.0,2024-01-03 22:00:00+09:00
1.7996396,1.5904982,1.2720183,0.935361,0.9406765,0.8098567,2.17,2024-01-03 22:30:00+09:00
1.6878952,1.4688355,1.1683098,0.8982453,0.7666083,0.83267117,2.03,2024-01-03 23:00:00+09:00
1.6592667,1.2579682,1.0029057,0.82383376,0.7148792,0.90819824,1.9,2024-01-03 23:30:00+09:00
1.6414956,1.3567518,1.0414658,0.8546747,0.78358895,0.9560943,1.78,2024-01-04 00:00:00+09:00
1.4968011,1.3032587,0.96707183,0.8316243,0.7490037,1.0612674,1.72,2024-01-04 00:30:00+09:00
1.451639,1.242542,0.9581396,0.8538301,0.6793491,0.95156,1.75,2024-01-04 01:00:00+09:00
1.37762,1.1257075,0.8853621,0.7649803,0.6508155,1.0949675,1.67,2024-01-04 01:30:00+09:00
1.3883536,1.111307,0.97545403,0.91495687,0.7194588,1.3277339,1.67,2024-01-04 02:00:00+09:00
1.322571,1.0878165,0.8359388,0.7789236,0.7075498,1.4105903,1.655,2024-01-04 02:30:00+09:00
1.276152,1.0195826,0.83952117,0.82147807,0.7013844,1.3617835,1.58,2024-01-04 03:00:00+09:00
1.3599144,1.0719253,0.89487785,0.817056,0.6880812,1.3582742,1.59,2024-01-04 03:30:00+09:00
1.2368809,1.0381203,0.92272985,0.7726024,0.710469,1.2809875,1.49,2024-01-04 04:00:00+09:00
1.1386011,0.9190482,0.8982433,0.7687534,0.77123666,1.450744,1.385,2024-01-04 04:30:00+09:00
