pred_3h,pred_6h,pred_9h,pred_12h,pred_18h,pred_24h,origin_hs,origin_time
0.85723776,1.2089995,1.2078264,1.2228401,1.9172217,1.5302737,0.48,2024-01-03 00:00:00+09:00
0.8508776,1.193104,1.2363144,1.3887336,1.9807285,1.603803,0.515,2024-01-03 00:30:00+09:00
0.7845438,0.8559375,1.0064387,1.1335009,2.0075264,1.6502115,0.51,2024-01-03 01:00:00+09:00
0.87594163,1.0206292,1.2136898,1.4839256,2.149631,1.609195,0.58,2024-01-03 01:30:00+09:00
0.8125589,0.9235231,1.161389,1.4103454,2.0274074,1.6271098,0.66,2024-01-03 02:00:00+09:00
0.848452,1.1250476,1.3341789,1.5852652,2.2821622,1.4967062,0.65,2024-01-03 02:30:00+09:00
0.84620655,1.0797393,1.2915962,1.6452961,2.2328022,1.528565,0.69,2024-01-03 03:00:00+09:00
0.8899066,1.1811197,1.3104721,1.719211,2.2769055,1.6060416,0.715,2024-01-03 03:30:00+09:00
1.0201262,1.198618,1.3232701,1.6993046,2.0395133,1.4243705,0.79,2024-01-03 04:00:00+09:00
0.9768718,1.1719848,1.3860682,1.8784513,2.0332346,1.5037137,0.795,2024-01-03 04:30:00+09:00
1.0194069,1.1770871,1.5480192,1.9858683,2.148425,1.5167142,0.83,2024-01-03 05:00:00+09:00
1.0111362,1.1445507,1.3719399,1.7350721,1.6147563,1.2999367,0.84,2024-01-03 05:30:00+09:00
1.0507578,1.1731924,1.6008377,2.1611884,1.945636,1.4064707,0.89,2024-01-03 06:00:00+09:00
1.0297923,1.1399612,1.5354377,1.9151961,1.776382,1.2974979,0.885,2024-01-03 06:30:00+09:00
1.3893825,1.5832343,1.8328707,2.0986977,1.7058836,1.4934068,0.9,2024-01-03 07:00:00+09:00
1.14124,1.5650649,1.8737144,2.1011803,1.7105303,1.4390303,0.93,2024-01-03 07:30:00+09:00
1.2975196,1.7499117,2.144429,2.3455052,1.7883979,1.2688872,1.01,2024-01-03 08:00:00+09:00
1.3104352,1.6540788,2.2782726,2.3797572,1.7541462,1.3067455,1.16,2024-01-03 08:30:00+09:00
1.4491411,1.9279442,2.3692102,2.1793268,1.5885834,1.2120957,1.16,2024-01-03 09:00:00+09:00
1.4631649,1.8284345,2.2225146,2.0043156,1.5716189,1.1226593,1.14,2024-01-03 09:30:00+09:00
1.5926797,1.9759983,2.2440255,1.9810636,1.6068926,1.0604262,1.17,2024-01-03 10:00:00+09:00
1.627837,2.0701838,2.0643625,1.8336335,1.4732717,1.0092942,1.355,2024-01-03 10:30:00+09:00
1.5670664,1.9963034,2.1389623,1.9057561,1.4433417,0.9405198,1.33,2024-01-03 11:00:00+09:00
1.5544912,2.0086038,2.171187,1.8669623,1.3416114,0.8990309,1.21,2024-01-03 11:30:00+09:00
1.4388494,1.6662486,1.7206682,1.408071,1.2351258,0.9639017,1.24,2024-01-03 12:00:00+09:00
1.400249,1.7332277,1.7740554,1.6487087,1.3059868,1.0425216,1.255,2024-01-03 12:30:00+09:00
1.5742296,1.8455832,1.9492257,1.7913374,1.4575366,1.1422958,1.26,2024-01-03 13:00:00+09:00
1.6395632,1.7748271,1.8235955,1.7065142,1.3474029,1.0711442,1.435,2024-01-03 13:30:00+09:00
1.9807018,2.2385306,1.9511406,1.81626,1.4956862,1.2189419,1.54,2024-01-03 14:00:00+09:00
2.210603,2.2004113,2.053079,1.8829186,1.4196291,1.3425381,1.71,2024-01-03 14:30:00+09:00
2.0333006,2.0613344,1.8506389,1.5406425,1.1504759,1.1235933,1.74,2024-01-03 15:00:00+09:00
2.206036,2.2040048,2.0039794,1.8193954,1.1660206,1.3113358,1.85,2024-01-03 15:30:00+09:00
2.1971886,2.1992908,2.1237266,1.6243315,1.3274527,1.2491575,1.97,2024-01-03 16:00:00+09:00
2.2744005,1.9348458,1.9069464,1.6202611,1.255237,1.151225,2.04,2024-01-03 16:30:00+09:00
2.1300662,1.8382812,1.5813373,1.3474544,1.1217037,1.0771089,2.09,2024-01-03 17:00:00+09:00
