pred_3h,pred_6h,pred_9h,pred_12h,pred_18h,pred_24h,origin_hs,origin_time
0.8466748,1.2575173,1.188181,1.202655,2.058321,1.5206467,0.48,2024-01-03 00:00:00+09:00
0.8779961,1.1869836,1.2569411,1.4757484,2.0927997,1.6489215,0.515,2024-01-03 00:30:00+09:00
0.7631277,0.86108553,1.0333763,1.2391704,1.9668921,1.6846167,0.51,2024-01-03 01:00:00+09:00
0.8783112,0.9690158,1.190126,1.425307,2.0891435,1.4946976,0.58,2024-01-03 01:30:00+09:00
0.8174271,0.9244856,1.1310648,1.4881824,1.962776,1.6608688,0.66,2024-01-03 02:00:00+09:00
0.8343435,1.1423603,1.3103478,1.651464,2.274575,1.4684535,0.65,2024-01-03 02:30:00+09:00
0.8092678,1.1045151,1.2574139,1.6528952,2.1972587,1.5001163,0.69,2024-01-03 03:00:00+09:00
0.8808037,1.1615925,1.2902553,1.8134321,2.2928877,1.6317362,0.715,2024-01-03 03:30:00+09:00
1.0148226,1.182174,1.3356832,1.7008724,2.1121683,1.4348153,0.79,2024-01-03 04:00:00+09:00
0.9992625,1.1650263,1.4050802,1.9532204,2.0046933,1.5043137,0.795,2024-01-03 04:30:00+09:00
1.0557208,1.1677122,1.5387279,1.9696385,2.2227457,1.5388136,0.83,2024-01-03 05:00:00+09:00
0.94158137,1.1778821,1.3613262,1.8185365,1.5931213,1.265678,0.84,2024-01-03 05:30:00+09:00
1.0389599,1.1829141,1.5807152,2.1180952,1.8537204,1.3981284,0.89,2024-01-03 06:00:00+09:00
0.99331725,1.1843636,1.5279956,2.0449517,1.795834,1.3708096,0.885,2024-01-03 06:30:00+09:00
1.3824764,1.6567031,1.8169829,1.9935176,1.5526905,1.5477695,0.9,2024-01-03 07:00:00+09:00
1.2019722,1.5883707,1.8138764,2.0963778,1.6948323,1.4490422,0.93,2024-01-03 07:30:00+09:00
1.3343904,1.7591105,2.1612208,2.3425329,1.703126,1.1912224,1.01,2024-01-03 08:00:00+09:00
1.2813078,1.6697664,2.2319002,2.4031663,1.7204922,1.3722563,1.16,2024-01-03 08:30:00+09:00
1.5288951,1.8592477,2.3688354,2.3714678,1.6256677,1.1960173,1.16,2024-01-03 09:00:00+09:00
1.4686707,1.8551279,2.1550431,1.9020157,1.5408806,1.1148572,1.14,2024-01-03 09:30:00+09:00
1.5362282,1.9935329,2.1410875,1.8833122,1.5329208,0.9558637,1.17,2024-01-03 10:00:00+09:00
1.6001632,2.0942376,2.0743256,1.8219788,1.5392601,0.9885415,1.355,2024-01-03 10:30:00+09:00
1.5983902,2.013856,2.159977,1.817703,1.4586705,0.9533042,1.33,2024-01-03 11:00:00+09:00
1.5553766,1.9308201,2.200733,1.8253893,1.3472136,0.88219875,1.21,2024-01-03 11:30:00+09:00
1.4053284,1.6206748,1.6874076,1.5083913,1.2986766,0.97211087,1.24,2024-01-03 12:00:00+09:00
1.4077455,1.7532135,1.7025294,1.5938623,1.3274636,1.0405627,1.255,2024-01-03 12:30:00+09:00
1.5304509,1.8408216,1.9092807,1.8298469,1.32107,1.0657266,1.26,2024-01-03 13:00:00+09:00
1.6523718,1.7856795,1.8941365,1.7194972,1.3706005,0.91876054,1.435,2024-01-03 13:30:00+09:00
2.0082235,2.183731,2.009895,1.7868828,1.4277613,1.2892439,1.54,2024-01-03 14:00:00+09:00
2.2552304,2.1070786,2.2212555,2.0270264,1.4729834,1.3533853,1.71,2024-01-03 14:30:00+09:00
2.054648,2.0382326,1.7760704,1.5993226,1.2192395,1.0863159,1.74,2024-01-03 15:00:00+09:00
2.181651,2.0756202,2.0724888,1.8220013,1.1807289,1.2578846,1.85,2024-01-03 15:30:00+09:00
2.1680033,2.1878462,2.2386522,1.6756014,1.3100255,1.1881403,1.97,2024-01-03 16:00:00+09:00
2.2721894,1.9652622,1.8563986,1.5630901,1.3223438,1.0899029,2.04,2024-01-03 16:30:00+09:00
2.1370456,1.8054365,1.5335883,1.3450849,1.0549438,1.1118393,2.09,2024-01-03 17:00:00+09:00
2.4307191,2.07736,1.991053,1.4333644,1.0005906,1.0307822,2.1,2024-01-03 17:30:00+09:00
2.1859791,2.0773084,1.8084592,1.4947377,0.91938174,0.82535005,2.25,2024-01-03 18:00:00+09:00
2.2418234,2.0331154,1.7077805,1.5111047,1.0138017,0.91648173,2.275,2024-01-03 18:30:00+09:00
2.1845279,2.0368276,1.7784111,1.6028917,1.0712181,1.029997,2.32,2024-01-03 19:00:00+09:00
2.2487667,1.9006457,1.7174499,1.2726951,1.076624,0.933272,2.365,2024-01-03 19:30:00+09:00
2.2529762,1.8526978,1.7734172,1.897158,1.3050597,1.1334286,2.41,2024-01-03 20:00:00+09:00
1.9794182,1.85578,1.5760549,1.4001961,1.2015793,1.3199455,2.305,2024-01-03 20:30:00+09:00
1.945671,1.8786281,1.2991974,1.2237413,1.0629548,0.9483326,2.26,2024-01-03 21:00:00+09:00
1.8062687,1.5746044,1.3842039,1.1048608,0.8394257,0.90680695,2.2,2024-01-03 21:30:00+09:00
1.7501215,1.5750357,1.29996,1.0217012,0.88123024,0.8957942,2.0,2024-01-03 22:00:00+09:00
1.7789428,1.5546495,1.253942,0.98917854,0.9838848,0.7495371,2.17,2024-01-03 22:30:00+09:00
1.6778567,1.4381288,1.2178348,0.89169544,0.8451457,0.9252623,2.03,2024-01-03 23:00:00+09:00
1.6400316,1.2120653,1.0204195,0.8579813,0.7368052,0.93583053,1.9,2024-01-03 23:30:00+09:00
1.6382093,1.3327016,1.0224775,0.85815644,0.8572353,1.0469245,1.78,2024-01-04 00:00:00+09:00
1.5064996,1.2728405,0.9877676,0.8853443,0.8732686,1.1323571,1.72,2024-01-04 00:30:00+09:00
1.419922,1.2356802,0.99019027,0.87990457,0.74054736,1.0374275,1.75,2024-01-04 01:00:00+09:00
1.3607858,1.1319606,0.947756,0.80345356,0.76214993,1.1188749,1.67,2024-01-04 01:30:00+09:00
1.4052117,1.0957621,0.9411859,0.9420082,0.7562292,1.3670336,1.67,2024-01-04 02:00:00+09:00
1.3236493,1.1523614,0.8913601,0.8671148,0.7778591,1.4731017,1.655,2024-01-04 02:30:00+09:00
1.2861067,1.0349711,0.8640077,0.84514415,0.7405551,1.3584692,1.58,2024-01-04 03:00:00+09:00
1.3859257,1.0738853,0.90077823,0.89875925,0.7658072,1.419411,1.59,2024-01-04 03:30:00+09:00
1.2646954,1.0216005,0.9288495,0.8641364,0.8389691,1.3004819,1.49,2024-01-04 04:00:00+09:00
1.1704872,0.96253145,0.9379869,0.80070484,0.8859073,1.4113402,1.385,2024-01-04 04:30:00+09:00
1.100509,0.8683448,0.9298991,0.7771532,0.8742272,1.5653361,1.32,2024-01-04 05:00:00+09:00
1.1222839,0.9737263,0.94806087,0.8856761,1.1207359,1.5206894,1.355,2024-01-04 05:30:00+09:00
1.0548093,0.9082904,0.8836835,0.89677566,1.129314,1.5746602,1.32,2024-01-04 06:00:00+09:00
1.04439,0.8998179,0.90009695,0.7588504,1.0607,1.6327766,1.245,2024-01-04 06:30:00+09:00
1.0856572,1.0584137,0.97405595,0.9307937,1.2741216,1.4943311,1.25,2024-01-04 07:00:00+09:00
0.9386243,0.76139295,0.8057509,0.67804635,1.2716997,1.2545782,1.135,2024-01-04 07:30:00+09:00
0.9105754,0.8711814,0.8118771,0.74637294,1.3275083,1.1422875,1.13,2024-01-04 08:00:00+09:00
0.88826495,0.76956284,0.6417669,0.6158585,1.2671529,1.3792795,1.045,2024-01-04 08:30:00+09:00
0.96904486,0.8105719,0.71020895,0.682815,1.2006477,1.1692282,1.05,2024-01-04 09:00:00+09:00
0.9169355,0.78253865,0.65201116,0.68616295,1.2491761,1.0748626,1.005,2024-01-04 09:30:00+09:00
0.81277335,0.7299896,0.6346398,0.70248336,1.2129002,1.0906262,0.89,2024-01-04 10:00:00+09:00
0.7901364,0.7556481,0.63491714,0.7063584,1.1726867,1.0217117,0.87,2024-01-04 10:30:00+09:00
0.78846234,0.7445309,0.6354732,0.79902077,1.304613,1.0184969,0.87,2024-01-04 11:00:00+09:00
0.8036908,0.74074113,0.6990316,0.8391659,1.2792276,1.1108936,0.85,2024-01-04 11:30:00+09:00
0.83107287,0.7179699,0.70108676,0.9143892,1.3293117,1.0671457,0.84,2024-01-04 12:00:00+09:00
0.8476884,0.78692603,0.73458236,1.1914853,1.4049537,1.1079257,0.815,2024-01-04 12:30:00+09:00
0.7265676,0.6492443,0.6648251,0.87618285,1.1845187,0.88487554,0.84,2024-01-04 13:00:00+09:00
0.7399802,0.7056462,0.9014923,1.0951012,1.2373543,0.90798014,0.83,2024-01-04 13:30:00+09:00
0.7609553,0.7604996,0.9121585,1.3178917,1.4500996,1.142979,0.82,2024-01-04 14:00:00+09:00
0.83736116,0.837764,0.92863995,1.3438528,1.4403898,1.1940621,0.81,2024-01-04 14:30:00+09:00
0.8005751,0.813969,0.9826449,1.3285408,1.3924192,1.04713,0.85,2024-01-04 15:00:00+09:00
0.7874581,0.845781,0.9914524,1.5194442,1.237887,0.96784514,0.85,2024-01-04 15:30:00+09:00
0.7641185,0.74037296,1.0075394,1.3442075,1.2119386,0.9377159,0.87,2024-01-04 16:00:00+09:00
0.74370515,0.8205378,1.1724713,1.3733603,1.2060966,1.0127568,0.87,2024-01-04 16:30:00+09:00
0.78539795,0.95134664,1.3041137,1.4896492,1.2635765,0.9595201,0.82,2024-01-04 17:00:00+09:00
0.70698273,0.7834238,1.163159,1.2676582,1.216339,1.0300988,0.815,2024-01-04 17:30:00+09:00
0.7344178,0.9362815,1.3527328,1.6160189,1.349052,1.0438932,0.82,2024-01-04 18:00:00+09:00
0.76889056,1.0025686,1.341253,1.4715703,1.232772,1.0811417,0.79,2024-01-04 18:30:00+09:00
0.77757895,1.0267526,1.3021755,1.3599541,1.1868485,1.0337658,0.76,2024-01-04 19:00:00+09:00
0.74973327,1.1018711,1.168507,1.340766,1.0512178,0.9703148,0.72,2024-01-04 19:30:00+09:00
0.7836694,1.2026325,1.3236301,1.5758967,1.2689058,1.2034227,0.7,2024-01-04 20:00:00+09:00
0.78673476,1.212679,1.1397481,1.1710979,1.0370812,1.1762025,0.68,2024-01-04 20:30:00+09:00
0.9543439,1.2165501,1.2372136,1.226134,1.1029303,1.0694022,0.74,2024-01-04 21:00:00+09:00
1.0620543,1.3029459,1.5059893,1.1283127,0.9889955,0.91994214,0.785,2024-01-04 21:30:00+09:00
1.0351868,1.467904,1.4425008,1.4496768,1.2927693,1.0306549,0.78,2024-01-04 22:00:00+09:00
1.1673317,1.3921031,1.3717731,1.2433764,0.8934228,0.79465985,0.84,2024-01-04 22:30:00+09:00
1.2134044,1.5208074,1.3726162,1.3956623,1.1322417,0.8620766,0.86,2024-01-04 23:00:00+09:00
1.3808255,1.595587,1.403033,1.4449779,1.2546746,0.8542442,0.955,2024-01-04 23:30:00+09:00
1.2372614,1.3714556,1.2935044,1.0776999,0.92453414,0.7822509,0.99,2024-01-05 00:00:00+09:00
1.4240057,1.5200329,1.3003346,1.3602089,1.0228529,0.8608571,1.12,2024-01-05 00:30:00+09:00
1.4676483,1.4909669,1.3541669,1.1208345,1.0879309,0.8614013,1.27,2024-01-05 01:00:00+09:00
1.4847863,1.5291109,1.5905285,1.484964,1.0885255,1.0631505,1.305,2024-01-05 01:30:00+09:00
1.5216488,1.4517524,1.358285,1.2056198,0.9690437,0.7440782,1.41,2024-01-05 02:00:00+09:00
1.5496035,1.5181218,1.5503371,1.3254389,0.94587994,0.84525144,1.375,2024-01-05 02:30:00+09:00
1.6502409,1.4757466,1.3602897,1.2093827,0.8920065,0.6771231,1.48,2024-01-05 03:00:00+09:00
1.545877,1.4813774,1.4157568,1.1662463,0.8182374,0.58420414,1.46,2024-01-05 03:30:00+09:00
1.4636942,1.3290187,1.2035495,0.98713607,0.8940487,0.7484358,1.46,2024-01-05 04:00:00+09:00
1.4438757,1.479756,1.3465816,1.1567991,0.7698853,0.7447475,1.535,2024-01-05 04:30:00+09:00
1.4998177,1.3150347,1.0698088,0.9923516,0.5830426,0.61470324,1.65,2024-01-05 05:00:00+09:00
1.4262968,1.2945234,1.0769762,1.0472652,0.6846715,0.5953867,1.67,2024-01-05 05:30:00+09:00
1.3755423,1.2973228,1.0756088,1.0246156,0.6733692,0.701744,1.59,2024-01-05 06:00:00+09:00
1.3323573,1.2478899,1.0463598,0.9964142,0.7534426,0.64596975,1.6,2024-01-05 06:30:00+09:00
1.3733292,1.2132541,1.0439522,1.0192505,0.7389007,0.69968873,1.6,2024-01-05 07:00:00+09:00
1.2988186,1.1520411,0.96123844,0.85843205,0.66739154,0.7357187,1.48,2024-01-05 07:30:00+09:00
1.3079543,1.067395,0.9765983,0.85631514,0.6328504,0.8545213,1.39,2024-01-05 08:00:00+09:00
1.1934766,1.1006216,1.0187739,0.7575498,0.67383564,0.8236271,1.34,2024-01-05 08:30:00+09:00
1.2011687,1.087042,1.0055716,0.8024996,0.68073434,0.8506942,1.36,2024-01-05 09:00:00+09:00
1.1555812,1.1071187,0.96677923,0.83545625,0.6962858,0.6655405,1.44,2024-01-05 09:30:00+09:00
1.2022623,1.0168176,0.8836998,0.75967956,0.67510855,0.7654018,1.35,2024-01-05 10:00:00+09:00
1.1149023,0.9938926,0.89643186,0.764392,0.7168044,0.85838,1.21,2024-01-05 10:30:00+09:00
1.0945809,0.9759119,0.9109587,0.6230121,0.7208459,0.8224128,1.22,2024-01-05 11:00:00+09:00
1.0877732,0.99778444,0.81352407,0.67778647,0.78210956,0.91470456,1.305,2024-01-05 11:30:00+09:00
1.1360562,1.0020802,0.8305763,0.64646834,0.76937324,0.7821876,1.36,2024-01-05 12:00:00+09:00
1.1130675,1.0505979,0.8652661,0.666408,0.8911431,0.8940385,1.265,2024-01-05 12:30:00+09:00
1.0503143,0.95739794,0.8045419,0.58193874,0.8843998,0.8985209,1.15,2024-01-05 13:00:00+09:00
0.9593892,0.8636869,0.80418473,0.6588394,0.92363703,0.88223803,1.12,2024-01-05 13:30:00+09:00
0.9624999,0.8509695,0.74202406,0.5897108,0.9229796,0.8312865,1.04,2024-01-05 14:00:00+09:00
0.9290431,0.7572344,0.6111707,0.6154936,0.858607,0.7228538,1.03,2024-01-05 14:30:00+09:00
0.89788055,0.7381604,0.637313,0.62323767,0.86731964,0.7523519,1.02,2024-01-05 15:00:00+09:00
0.9492188,0.7726538,0.68760955,0.68001175,0.92299074,0.82630956,1.0,2024-01-05 15:30:00+09:00
0.85885614,0.6934483,0.70740837,0.6523962,0.86180943,0.8901953,0.94,2024-01-05 16:00:00+09:00
0.84045655,0.6993887,0.68451697,0.73347473,0.8103015,0.8098558,0.98,2024-01-05 16:30:00+09:00
0.787165,0.7147336,0.6702459,0.77056164,0.9804836,0.8944122,1.04,2024-01-05 17:00:00+09:00
0.8338265,0.657476,0.60201114,0.7161046,0.961994,0.9079534,1.02,2024-01-05 17:30:00+09:00
0.7928349,0.76015943,0.73378605,0.7497936,0.9858219,1.0019467,0.94,2024-01-05 18:00:00+09:00
0.73599225,0.7667963,0.70035875,0.81760985,0.97830176,1.0341239,0.925,2024-01-05 18:30:00+09:00
0.7634882,0.7621687,0.7025347,0.92777205,0.95718,0.9843273,0.91,2024-01-05 19:00:00+09:00
0.72244483,0.69102037,0.65350014,0.9048919,0.9467575,0.94267464,0.825,2024-01-05 19:30:00+09:00
0.7570152,0.7391784,0.7518779,0.86805844,0.8676792,1.1272093,0.84,2024-01-05 20:00:00+09:00
0.6981022,0.768725,0.824374,0.97957754,1.0721929,1.1027553,0.78,2024-01-05 20:30:00+09:00
0.64366984,0.6580439,0.7316829,0.8918949,0.9194315,1.1178267,0.71,2024-01-05 21:00:00+09:00
0.6171339,0.65557,0.7338114,0.93417746,0.97268087,0.9665598,0.655,2024-01-05 21:30:00+09:00
0.6304019,0.6422954,0.77696943,0.91927314,0.9110999,0.80127454,0.64,2024-01-05 22:00:00+09:00
0.6236259,0.64835215,0.8282284,0.95041746,0.8055539,0.8364981,0.645,2024-01-05 22:30:00+09:00
0.63615566,0.6265889,0.70537746,0.7356818,0.97101337,0.82133865,0.65,2024-01-05 23:00:00+09:00
0.60089934,0.7142509,0.7913059,0.8220828,0.8372595,0.86458325,0.63,2024-01-05 23:30:00+09:00
0.6871742,0.7883166,1.037109,0.9952051,0.9427088,1.0115529,0.61,2024-01-06 00:00:00+09:00
0.67349446,0.86594176,0.90950185,0.8988461,0.91666484,0.97251475,0.61,2024-01-06 00:30:00+09:00
0.67401177,0.8518446,0.8874291,0.8055439,1.0417523,1.0735195,0.61,2024-01-06 01:00:00+09:00
0.65281564,0.8473234,0.85593444,0.7193884,1.0112861,1.0831302,0.6,2024-01-06 01:30:00+09:00
0.61455613,0.7574313,0.78785896,0.7210374,0.83376974,0.8321622,0.61,2024-01-06 02:00:00+09:00
0.688703,0.8570434,0.8934297,0.8452931,1.0110217,1.0326883,0.605,2024-01-06 02:30:00+09:00
0.719445,0.86291265,0.9103557,0.7702015,0.96494716,1.0778655,0.58,2024-01-06 03:00:00+09:00
